Date,Price,Open,High,Low,Vol,Change
"Oct 06, 2021","55,331.0","51,508.0","55,724.0","50,448.0","10.52K","7.42%"
"Oct 05, 2021","51,508.0","49,232.0","51,891.1","49,065.0","6.68K","4.58%"
"Oct 04, 2021","49,252.0","48,243.0","49,503.0","46,951.0","6.19K","2.09%"
"Oct 03, 2021","48,243.0","47,675.0","49,187.0","47,124.0","3.60K","1.19%"
"Oct 02, 2021","47,675.0","48,151.0","48,330.0","47,459.0","2.06K","-1.00%"
"Oct 01, 2021","48,157.0","43,830.0","48,454.0","43,311.0","8.32K","9.87%"
"Sep 30, 2021","43,830.0","41,551.0","44,107.0","41,432.0","5.11K","5.48%"
"Sep 29, 2021","41,551.0","41,064.0","42,591.0","40,811.0","4.39K","1.19%"
"Sep 28, 2021","41,064.0","42,191.0","42,777.0","40,928.0","6.16K","-2.67%"
"Sep 27, 2021","42,191.0","43,220.5","44,354.0","42,144.0","4.26K","-2.29%"
"Sep 26, 2021","43,180.0","42,711.0","43,931.0","40,830.0","5.47K","1.10%"
"Sep 25, 2021","42,711.0","42,854.0","42,977.0","41,731.0","2.96K","-0.39%"
"Sep 24, 2021","42,878.0","44,882.0","45,140.0","40,779.0","11.76K","-4.47%"
"Sep 23, 2021","44,882.0","43,582.6","44,986.0","43,121.0","5.29K","2.98%"
"Sep 22, 2021","43,582.6","40,632.5","43,998.0","40,607.0","8.43K","7.18%"
"Sep 21, 2021","40,664.0","43,002.0","43,622.3","39,678.0","14.96K","-5.44%"
"Sep 20, 2021","43,002.0","47,239.0","47,323.0","42,577.0","12.63K","-8.97%"
"Sep 19, 2021","47,239.0","48,309.0","48,370.0","46,837.0","2.28K","-2.21%"
"Sep 18, 2021","48,309.0","47,296.0","48,794.0","47,070.0","2.05K","2.15%"
"Sep 17, 2021","47,292.0","47,786.0","48,183.0","46,782.0","2.49K","-1.03%"
"Sep 16, 2021","47,786.0","48,136.0","48,518.0","47,080.0","3.61K","-0.73%"
"Sep 15, 2021","48,136.0","47,078.0","48,440.0","46,738.0","3.98K","2.25%"
"Sep 14, 2021","47,078.0","44,960.0","47,235.0","44,726.0","3.52K","4.71%"
"Sep 13, 2021","44,960.0","46,069.0","46,823.0","43,514.0","8.77K","-2.41%"
"Sep 12, 2021","46,069.0","45,169.0","46,391.0","44,780.1","3.39K","1.99%"
"Sep 11, 2021","45,169.0","44,852.0","45,990.0","44,750.0","2.54K","0.71%"
"Sep 10, 2021","44,852.0","46,389.0","47,036.0","44,265.1","5.18K","-3.31%"
"Sep 09, 2021","46,389.0","46,088.0","47,397.0","45,591.0","3.85K","0.65%"
"Sep 08, 2021","46,088.0","46,778.0","47,342.4","44,509.9","7.55K","-1.48%"
"Sep 07, 2021","46,778.0","52,676.0","52,888.0","43,347.0","16.70K","-11.20%"
"Sep 06, 2021","52,676.0","51,762.0","52,709.0","51,062.0","4.84K","1.77%"
"Sep 05, 2021","51,762.0","49,899.0","51,900.0","49,500.0","5.54K","3.73%"
"Sep 04, 2021","49,899.0","50,000.0","50,529.0","49,418.0","2.37K","-0.20%"
"Sep 03, 2021","50,000.0","49,291.0","51,032.0","48,362.0","7.33K","1.44%"
"Sep 02, 2021","49,291.0","48,844.0","50,365.0","48,633.0","4.95K","0.92%"
"Sep 01, 2021","48,844.0","47,157.0","49,102.0","46,600.0","5.71K","3.58%"
"Aug 31, 2021","47,157.0","47,008.0","48,241.0","46,725.0","4.30K","0.32%"
"Aug 30, 2021","47,008.0","48,800.0","48,915.7","46,904.0","4.12K","-3.67%"
"Aug 29, 2021","48,800.0","48,914.0","49,650.0","47,844.0","4.05K","-0.23%"
"Aug 28, 2021","48,914.0","49,076.1","49,310.0","48,400.0","2.30K","-0.33%"
"Aug 27, 2021","49,076.1","46,832.0","49,159.0","46,364.9","5.80K","4.79%"
"Aug 26, 2021","46,832.0","48,989.0","49,385.0","46,370.7","6.48K","-4.40%"
"Aug 25, 2021","48,989.0","47,714.0","49,244.0","47,158.0","4.12K","2.67%"
"Aug 24, 2021","47,714.0","49,539.0","49,857.0","47,604.0","4.77K","-3.68%"
"Aug 23, 2021","49,539.0","49,264.0","50,506.3","49,055.0","5.42K","0.56%"
"Aug 22, 2021","49,264.0","48,868.0","49,487.0","48,121.0","2.75K","0.81%"
"Aug 21, 2021","48,868.0","49,332.0","49,784.0","48,290.0","3.92K","-0.94%"
